"Manage Blocks","Manage Blocks"
"Add New Block Profile","Add New Block Profile"
"Save Profile","Save Profile"
"Save and Continue Edit","Save and Continue Edit"
Duplicate,Duplicate
"Delete Profile","Delete Profile"
"Edit Profile '%1'","Edit Profile '%1'"
"New Profile","New Profile"
"Design Block","Design Block"
"Prefix Class","Prefix Class"
"Enable Container","Enable Container"
"-- Load A Layout --","-- Load A Layout --"
"Current Layout Profile","Current Layout Profile"
"Use Backup Layout","Use Backup Layout"
"Block Editor","Block Editor"
Design,Design
"Block Information","Block Information"
"Block Title","Block Title"
"URL Key","URL Key"
"Empty to auto create url key","Empty to auto create url key"
Status,Status
Shortcode,Shortcode
"Display Block From Date","Display Block From Date"
"Display Block To Date","Display Block To Date"
"Enable Block for certain customer groups","Enable Block for certain customer groups"
Position,Position
Preview,Preview
"Page Layout","Page Layout"
Layout,Layout
"Layout Update XML","Layout Update XML"
"Custom Design","Custom Design"
"Custom Design From","Custom Design From"
"Custom Design To","Custom Design To"
"-- Please Select --","-- Please Select --"
"Custom Theme","Custom Theme"
"Custom Layout","Custom Layout"
"Custom Layout Update XML","Custom Layout Update XML"
"Meta Data","Meta Data"
Keywords,Keywords
"Meta Keywords","Meta Keywords"
Description,Description
"Meta Description","Meta Description"
"CMS Page Information","CMS Page Information"
"Desgin Block","Desgin Block"
"Page View Optimization","Page View Optimization"
"Google Analytics Content Experiments Code","Google Analytics Content Experiments Code"
"Experiment Code","Experiment Code"
"Experiment code should be added to the original page only.","Experiment code should be added to the original page only."
"Page Title","Page Title"
"Store View","Store View"
"Page Information","Page Information"
"Wrapper For Page Builder","Wrapper For Page Builder"
"Enable Wrapper Block","Enable Wrapper Block"
Disabled,Disabled
Enabled,Enabled
"Select Wrapper Class","Select Wrapper Class"
"Choose a container size","Choose a container size"
"-- Select A Class --","-- Select A Class --"
container,container
container-small,container-small
container-large,container-large
container-fluid,container-fluid
main-container,main-container
"Custom Wrapper Class","Custom Wrapper Class"
"For example: <strong>container</strong>","For example: <strong>container</strong>"
"Page Builder Widget Settings","Page Builder Widget Settings"
"Custom Template","Custom Template"
"Input custom module template file path. For example: pagebuilder/default.phtml Empty for default","Input custom module template file path. For example: pagebuilder/default.phtml Empty for default"
Settings,Settings
"Custom Style / JS","Custom Style / JS"
"Custom CSS","Custom CSS"
